trialNum	trialTime	param_1	param_2	difference	isCorrect	isAscending	side	scalingVal	dotSize	numPoints	dotStyle	dotHue
173	1329.0	0.342	0.3	0.04200000000000004	false	false	right	0.9	12.0	100.0	9	1
174	1153.0	0.372	0.3	0.07200000000000001	true	false	right	0.9	12.0	100.0	9	1
175	1216.0	0.362	0.3	0.062	true	false	left	0.9	12.0	100.0	9	1
176	1288.0	0.352	0.3	0.05199999999999999	true	false	left	0.9	12.0	100.0	9	1
177	944.0	0.34199999999999997	0.3	0.04199999999999998	true	false	right	0.9	12.0	100.0	9	1
178	1001.0	0.33199999999999996	0.3	0.03199999999999997	true	false	right	0.9	12.0	100.0	9	1
179	905.0	0.322	0.3	0.02200000000000002	true	false	right	0.9	12.0	100.0	9	1
180	896.0	0.312	0.3	0.01200000000000001	true	false	left	0.9	12.0	100.0	9	1
181	1289.0	0.302	0.3	0.0020000000000000018	false	false	right	0.9	12.0	100.0	9	1
182	1137.0	0.33199999999999996	0.3	0.03199999999999997	true	false	right	0.9	12.0	100.0	9	1
183	752.0	0.322	0.3	0.02200000000000002	true	false	left	0.9	12.0	100.0	9	1
184	960.0	0.312	0.3	0.01200000000000001	false	false	left	0.9	12.0	100.0	9	1
185	1513.0	0.34199999999999997	0.3	0.04199999999999998	false	false	right	0.9	12.0	100.0	9	1
186	945.0	0.372	0.3	0.07200000000000001	false	false	left	0.9	12.0	100.0	9	1
187	504.0	0.40199999999999997	0.3	0.10199999999999998	true	false	left	0.9	12.0	100.0	9	1
188	1929.0	0.392	0.3	0.09200000000000003	true	false	right	0.9	12.0	100.0	9	1
189	992.0	0.382	0.3	0.08200000000000002	true	false	right	0.9	12.0	100.0	9	1
190	1009.0	0.372	0.3	0.07200000000000001	true	false	left	0.9	12.0	100.0	9	1
191	1217.0	0.362	0.3	0.062	true	false	left	0.9	12.0	100.0	9	1
192	1073.0	0.352	0.3	0.05199999999999999	true	false	left	0.9	12.0	100.0	9	1
193	1505.0	0.34199999999999997	0.3	0.04199999999999998	false	false	left	0.9	12.0	100.0	9	1
194	544.0	0.372	0.3	0.07200000000000001	true	false	left	0.9	12.0	100.0	9	1
195	1241.0	0.362	0.3	0.062	false	false	right	0.9	12.0	100.0	9	1
196	849.0	0.392	0.3	0.09200000000000003	true	false	left	0.9	12.0	100.0	9	1
197	1168.0	0.382	0.3	0.08200000000000002	true	false	right	0.9	12.0	100.0	9	1
198	880.0	0.372	0.3	0.07200000000000001	true	false	right	0.9	12.0	100.0	9	1
199	857.0	0.362	0.3	0.062	true	false	right	0.9	12.0	100.0	9	1
200	1689.0	0.352	0.3	0.05199999999999999	true	false	left	0.9	12.0	100.0	9	1
201	1000.0	0.34199999999999997	0.3	0.04199999999999998	false	false	right	0.9	12.0	100.0	9	1
202	2129.0	0.934	0.9	0.03400000000000003	true	false	left	0.9	12.0	100.0	6	1
203	1000.0	0.924	0.9	0.02400000000000002	false	false	right	0.9	12.0	100.0	6	1
204	857.0	0.9540000000000001	0.9	0.05400000000000005	true	false	left	0.9	12.0	100.0	6	1
205	1064.0	0.9440000000000001	0.9	0.04400000000000004	true	false	right	0.9	12.0	100.0	6	1
206	1032.0	0.934	0.9	0.03400000000000003	true	false	right	0.9	12.0	100.0	6	1
207	3074.0	0.924	0.9	0.02400000000000002	true	false	left	0.9	12.0	100.0	6	1
208	4314.0	0.914	0.9	0.014000000000000012	false	false	right	0.9	12.0	100.0	6	1
209	945.0	0.9440000000000001	0.9	0.04400000000000004	true	false	left	0.9	12.0	100.0	6	1
210	832.0	0.934	0.9	0.03400000000000003	true	false	right	0.9	12.0	100.0	6	1
211	976.0	0.924	0.9	0.02400000000000002	true	false	left	0.9	12.0	100.0	6	1
212	993.0	0.914	0.9	0.014000000000000012	true	false	left	0.9	12.0	100.0	6	1
213	1953.0	0.904	0.9	0.0040000000000000036	true	false	right	0.9	12.0	100.0	6	1
214	1913.0	0.9	0.9	0.0	false	false	left	0.9	12.0	100.0	6	1
215	969.0	0.93	0.9	0.030000000000000027	true	false	left	0.9	12.0	100.0	6	1
216	2241.0	0.92	0.9	0.020000000000000018	true	false	left	0.9	12.0	100.0	6	1
217	1761.0	0.91	0.9	0.010000000000000009	false	false	left	0.9	12.0	100.0	6	1
218	865.0	0.9400000000000001	0.9	0.040000000000000036	false	false	right	0.9	12.0	100.0	6	1
219	1041.0	0.97	0.9	0.06999999999999995	true	false	left	0.9	12.0	100.0	6	1
220	849.0	0.96	0.9	0.05999999999999994	true	false	left	0.9	12.0	100.0	6	1
221	889.0	0.95	0.9	0.04999999999999993	true	false	left	0.9	12.0	100.0	6	1
